ticket_id,opened_at,category,priority,site,asset_id,reported_by,text,gt_entities,data_status
TKT00026,2019-04-10 23:06:00,mechanical,P3,HQ-WHK,AST-0166,cont022,Pump seal failure at the HQ-WHK dewatering station. Standby pump started automatically.,site=HQ-WHK,SYNTHETIC
TKT00291,2019-04-10 23:46:00,access_request,P3,PIT-B,AST-0022,mine093,Request to open HTTPS from the vendor network to AST-0022 for diagnostics. Security review required before the rule is added.,asset=AST-0022|proto=HTTPS,SYNTHETIC
TKT00001,2019-04-11 00:16:00,instrumentation,P3,CAMP-01,AST-0184,mine090,Modbus register map on AST-0184 does not match the documented configuration after a vendor visit.,asset=AST-0184,SYNTHETIC
TKT00217,2019-04-11 03:29:00,access_request,P3,CAMP-01,AST-0145,mine091,Account mine091 requests privilege elevation on AST-0145 to complete firmware maintenance.,asset=AST-0145|user=mine091,SYNTHETIC
TKT00034,2019-04-11 03:48:00,mechanical,P3,PIT-B,AST-0129,mine095,Crusher liner wear beyond limit at PIT-B. Production rate reduced until the liner is replaced.,site=PIT-B,SYNTHETIC
TKT00269,2019-04-11 06:23:00,network_fault,P3,CAMP-01,AST-0041,main036,DHCP exhaustion at CAMP-01; new devices cannot obtain an address. Affected range includes 28.84.225.118.,ip=28.84.225.118|site=CAMP-01,SYNTHETIC
TKT00307,2019-04-11 14:08:00,mechanical,P2,HQ-WHK,AST-0151,cont089,Conveyor drive bearing at HQ-WHK running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=HQ-WHK,SYNTHETIC
TKT00289,2019-04-11 15:50:00,network_fault,P2,PIT-B,AST-0170,cont013,"High latency on the PIT-B microwave backhaul. Telemetry from AST-0170 arriving late, historian shows gaps of several minutes.",asset=AST-0170|site=PIT-B,SYNTHETIC
TKT00315,2019-04-12 00:43:00,instrumentation,P3,PORT-WVB,AST-0089,cont004,Modbus register map on AST-0089 does not match the documented configuration after a vendor visit.,asset=AST-0089,SYNTHETIC
TKT00188,2019-04-12 01:12:00,access_request,P2,TAILINGS-01,AST-0022,mine093,Account mine093 requests privilege elevation on AST-0022 to complete firmware maintenance.,asset=AST-0022|user=mine093,SYNTHETIC
TKT00014,2019-04-12 05:26:00,mechanical,P3,PORT-WVB,AST-0079,it065,Pump seal failure at the PORT-WVB dewatering station. Standby pump started automatically.,site=PORT-WVB,SYNTHETIC
TKT00235,2019-04-12 09:13:00,mechanical,P2,HQ-WHK,AST-0002,mine094,Crusher liner wear beyond limit at HQ-WHK. Production rate reduced until the liner is replaced.,site=HQ-WHK,SYNTHETIC
TKT00204,2019-04-12 11:43:00,network_fault,P3,CAMP-01,AST-0115,cont079,Intermittent link loss between the CAMP-01 radio bridge and the core switch. RDP sessions from AST-0115 time out during the fault window.,asset=AST-0115|proto=RDP|site=CAMP-01,SYNTHETIC
TKT00072,2019-04-12 14:19:00,network_fault,P2,PLANT-01,AST-0021,it060,"High latency on the PLANT-01 microwave backhaul. Telemetry from AST-0021 arriving late, historian shows gaps of several minutes.",asset=AST-0021|site=PLANT-01,SYNTHETIC
TKT00184,2019-04-12 17:00:00,network_fault,P3,HQ-WHK,AST-0138,cont015,"High latency on the HQ-WHK microwave backhaul. Telemetry from AST-0138 arriving late, historian shows gaps of several minutes.",asset=AST-0138|site=HQ-WHK,SYNTHETIC
TKT00124,2019-04-12 17:54:00,access_request,P3,TAILINGS-01,AST-0040,supe107,Contractor supe107 requires temporary remote access to the CCTV recorder at TAILINGS-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,site=TAILINGS-01|target=CCTV recorder|user=supe107,SYNTHETIC
TKT00250,2019-04-12 19:15:00,access_request,P2,PIT-B,AST-0074,cont089,Offboarding: disable account cont089 and revoke remote access tokens issued for PIT-B.,site=PIT-B|user=cont089,SYNTHETIC
TKT00225,2019-04-12 21:11:00,access_request,P3,WORKSHOP-01,AST-0045,mine093,Request to open MQTT from the vendor network to AST-0045 for diagnostics. Security review required before the rule is added.,asset=AST-0045|proto=MQTT,SYNTHETIC
TKT00069,2019-04-13 00:48:00,security_incident,P4,PORT-WVB,AST-0089,it063,Repeated failed remote logins for account it063 from 124.69.186.228 against the maintenance portal on AST-0089. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0089|ip=124.69.186.228|target=maintenance portal|user=it063,SYNTHETIC
TKT00303,2019-04-13 02:59:00,security_incident,P1,PLANT-01,AST-0193,mine099,Repeated failed remote logins for account mine099 from 216.116.135.112 against the historian on AST-0193. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0193|ip=216.116.135.112|target=historian|user=mine099,SYNTHETIC
TKT00177,2019-04-13 04:46:00,network_fault,P2,PIT-A,AST-0035,ot053,DHCP exhaustion at PIT-A; new devices cannot obtain an address. Affected range includes 12.223.75.118.,ip=12.223.75.118|site=PIT-A,SYNTHETIC
TKT00261,2019-04-13 05:48:00,mechanical,P2,TAILINGS-01,AST-0188,it062,Crusher liner wear beyond limit at TAILINGS-01. Production rate reduced until the liner is replaced.,site=TAILINGS-01,SYNTHETIC
TKT00071,2019-04-13 07:36:00,access_request,P1,WORKSHOP-01,AST-0093,mine102,Offboarding: disable account mine102 and revoke remote access tokens issued for WORKSHOP-01.,site=WORKSHOP-01|user=mine102,SYNTHETIC
TKT00092,2019-04-13 09:29:00,instrumentation,P3,TAILINGS-01,AST-0065,it061,GPS tracker on the TAILINGS-01 light vehicle fleet dropping position fixes; firmware update pending.,site=TAILINGS-01,SYNTHETIC
TKT00306,2019-04-13 12:15:00,mechanical,P3,HQ-WHK,AST-0043,cont085,Conveyor drive bearing at HQ-WHK running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=HQ-WHK,SYNTHETIC
TKT00196,2019-04-13 12:56:00,instrumentation,P3,CAMP-01,AST-0111,supe109,"Sensor AST-0111 at CAMP-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0111|site=CAMP-01,SYNTHETIC
TKT00107,2019-04-13 15:02:00,access_request,P3,CAMP-01,AST-0062,mine102,Contractor mine102 requires temporary remote access to the SCADA HMI at CAMP-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,site=CAMP-01|target=SCADA HMI|user=mine102,SYNTHETIC
TKT00244,2019-04-13 16:55:00,network_fault,P2,WORKSHOP-01,AST-0162,cont014,Firewall rule change blocked HTTPS polling to AST-0162; control room lost trend data until the rule was reverted.,asset=AST-0162|proto=HTTPS,SYNTHETIC
TKT00141,2019-04-13 20:30:00,network_fault,P2,PLANT-01,AST-0155,mine094,Firewall rule change blocked DNP3 polling to AST-0155; control room lost trend data until the rule was reverted.,asset=AST-0155|proto=DNP3,SYNTHETIC
TKT00081,2019-04-14 02:00:00,access_request,P2,PLANT-01,AST-0002,main044,Offboarding: disable account main044 and revoke remote access tokens issued for PLANT-01.,site=PLANT-01|user=main044,SYNTHETIC
TKT00298,2019-04-14 02:46:00,instrumentation,P2,PORT-WVB,AST-0090,vend069,Modbus register map on AST-0090 does not match the documented configuration after a vendor visit.,asset=AST-0090,SYNTHETIC
TKT00320,2019-04-14 05:52:00,mechanical,P3,PIT-A,AST-0087,cont008,Conveyor drive bearing at PIT-A running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=PIT-A,SYNTHETIC
TKT00156,2019-04-14 10:25:00,instrumentation,P3,PIT-A,AST-0132,cont020,Modbus register map on AST-0132 does not match the documented configuration after a vendor visit.,asset=AST-0132,SYNTHETIC
TKT00002,2019-04-14 12:45:00,instrumentation,P1,HQ-WHK,AST-0056,it067,GPS tracker on the HQ-WHK light vehicle fleet dropping position fixes; firmware update pending.,site=HQ-WHK,SYNTHETIC
TKT00279,2019-04-14 21:10:00,network_fault,P3,HQ-WHK,AST-0032,it062,Firewall rule change blocked SNMP polling to AST-0032; control room lost trend data until the rule was reverted.,asset=AST-0032|proto=SNMP,SYNTHETIC
TKT00112,2019-04-15 00:17:00,mechanical,P1,PIT-B,AST-0079,cont002,Pump seal failure at the PIT-B dewatering station. Standby pump started automatically.,site=PIT-B,SYNTHETIC
TKT00120,2019-04-15 00:22:00,security_incident,P2,PORT-WVB,AST-0135,cont011,Unusual DNP3 traffic observed from AST-0135 at PORT-WVB towards 153.38.101.96. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0135|ip=153.38.101.96|proto=DNP3|site=PORT-WVB,SYNTHETIC
TKT00096,2019-04-15 02:07:00,network_fault,P3,PIT-B,AST-0010,cont079,"High latency on the PIT-B microwave backhaul. Telemetry from AST-0010 arriving late, historian shows gaps of several minutes.",asset=AST-0010|site=PIT-B,SYNTHETIC
TKT00173,2019-04-15 02:54:00,network_fault,P2,WORKSHOP-01,AST-0107,cont083,Firewall rule change blocked DNP3 polling to AST-0107; control room lost trend data until the rule was reverted.,asset=AST-0107|proto=DNP3,SYNTHETIC
TKT00105,2019-04-15 04:02:00,mechanical,P4,HQ-WHK,AST-0031,it060,"Haul truck hydraulic leak reported by operator at HQ-WHK. Unit removed from service, no network impact to AST-0031.",asset=AST-0031|site=HQ-WHK,SYNTHETIC
TKT00257,2019-04-15 08:39:00,access_request,P4,PLANT-01,AST-0099,mine091,Request to open RDP from the vendor network to AST-0099 for diagnostics. Security review required before the rule is added.,asset=AST-0099|proto=RDP,SYNTHETIC
TKT00004,2019-04-15 15:39:00,security_incident,P3,PLANT-01,AST-0138,mine094,Unusual MQTT traffic observed from AST-0138 at PLANT-01 towards 106.185.37.199. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0138|ip=106.185.37.199|proto=MQTT|site=PLANT-01,SYNTHETIC
TKT00176,2019-04-15 15:46:00,instrumentation,P4,PLANT-01,AST-0082,cont009,GPS tracker on the PLANT-01 light vehicle fleet dropping position fixes; firmware update pending.,site=PLANT-01,SYNTHETIC
TKT00066,2019-04-15 19:23:00,security_incident,P4,PIT-B,AST-0113,supe113,Possible credential sharing: the same account supe113 authenticated from 59.49.201.143 and a second address within a few minutes. Access review requested for PIT-B.,ip=59.49.201.143|site=PIT-B|user=supe113,SYNTHETIC
TKT00160,2019-04-15 20:26:00,security_incident,P3,CAMP-01,AST-0114,ot053,Possible credential sharing: the same account ot053 authenticated from 71.240.139.15 and a second address within a few minutes. Access review requested for CAMP-01.,ip=71.240.139.15|site=CAMP-01|user=ot053,SYNTHETIC
TKT00011,2019-04-15 21:47:00,security_incident,P1,PIT-A,AST-0017,cont015,Repeated failed remote logins for account cont015 from 137.196.215.105 against the fleet management portal on AST-0017. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0017|ip=137.196.215.105|target=fleet management portal|user=cont015,SYNTHETIC
TKT00151,2019-04-15 22:30:00,mechanical,P3,PLANT-01,AST-0131,main047,"Haul truck hydraulic leak reported by operator at PLANT-01. Unit removed from service, no network impact to AST-0131.",asset=AST-0131|site=PLANT-01,SYNTHETIC
TKT00005,2019-04-16 02:45:00,network_fault,P3,PIT-A,AST-0118,ot057,Firewall rule change blocked HTTPS polling to AST-0118; control room lost trend data until the rule was reverted.,asset=AST-0118|proto=HTTPS,SYNTHETIC
TKT00052,2019-04-16 05:03:00,security_incident,P3,HQ-WHK,AST-0096,supe108,Antivirus on the engineering workstation flagged Conficker after a contractor connected a USB drive at HQ-WHK. Machine isolated from the OT network for imaging.,malware=Conficker|site=HQ-WHK,SYNTHETIC
TKT00045,2019-04-16 05:50:00,mechanical,P3,HQ-WHK,AST-0170,supe105,"Haul truck hydraulic leak reported by operator at HQ-WHK. Unit removed from service, no network impact to AST-0170.",asset=AST-0170|site=HQ-WHK,SYNTHETIC
TKT00041,2019-04-16 10:49:00,instrumentation,P3,WORKSHOP-01,AST-0147,cont081,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,site=WORKSHOP-01,SYNTHETIC
TKT00209,2019-04-16 12:06:00,instrumentation,P3,WORKSHOP-01,AST-0184,main048,Modbus register map on AST-0184 does not match the documented configuration after a vendor visit.,asset=AST-0184,SYNTHETIC
TKT00316,2019-04-16 15:53:00,security_incident,P3,PIT-A,AST-0048,main046,Vendor account main046 logged into the OT jump host outside the approved maintenance window and opened the historian. No change ticket exists for this work.,target=historian|user=main046,SYNTHETIC
TKT00214,2019-04-16 18:40:00,access_request,P3,PORT-WVB,AST-0015,mine099,Account mine099 requests privilege elevation on AST-0015 to complete firmware maintenance.,asset=AST-0015|user=mine099,SYNTHETIC
TKT00008,2019-04-16 20:11:00,network_fault,P3,CAMP-01,AST-0186,it060,DHCP exhaustion at CAMP-01; new devices cannot obtain an address. Affected range includes 57.31.202.46.,ip=57.31.202.46|site=CAMP-01,SYNTHETIC
TKT00212,2019-04-16 21:32:00,access_request,P4,PIT-B,AST-0010,it062,Contractor it062 requires temporary remote access to the historian at PIT-B for a commissioning task. Approval and MFA enrolment required before access is granted.,site=PIT-B|target=historian|user=it062,SYNTHETIC
TKT00157,2019-04-17 00:21:00,access_request,P3,TAILINGS-01,AST-0060,supe105,Contractor supe105 requires temporary remote access to the historian at TAILINGS-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,site=TAILINGS-01|target=historian|user=supe105,SYNTHETIC
TKT00317,2019-04-17 03:20:00,instrumentation,P3,TAILINGS-01,AST-0081,vend072,"Sensor AST-0081 at TAILINGS-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0081|site=TAILINGS-01,SYNTHETIC
TKT00264,2019-04-17 03:27:00,access_request,P3,TAILINGS-01,AST-0048,cont081,Offboarding: disable account cont081 and revoke remote access tokens issued for TAILINGS-01.,site=TAILINGS-01|user=cont081,SYNTHETIC
TKT00104,2019-04-17 04:28:00,security_incident,P3,PLANT-01,AST-0146,main030,Unusual HTTPS traffic observed from AST-0146 at PLANT-01 towards 189.215.16.230. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0146|ip=189.215.16.230|proto=HTTPS|site=PLANT-01,SYNTHETIC
TKT00103,2019-04-17 07:06:00,network_fault,P2,PIT-A,AST-0006,mine098,Intermittent link loss between the PIT-A radio bridge and the core switch. MQTT sessions from AST-0006 time out during the fault window.,asset=AST-0006|proto=MQTT|site=PIT-A,SYNTHETIC
TKT00239,2019-04-17 07:11:00,network_fault,P4,PORT-WVB,AST-0090,cont083,Intermittent link loss between the PORT-WVB radio bridge and the core switch. Modbus/TCP sessions from AST-0090 time out during the fault window.,asset=AST-0090|proto=Modbus/TCP|site=PORT-WVB,SYNTHETIC
TKT00043,2019-04-17 07:54:00,security_incident,P4,HQ-WHK,AST-0074,cont011,Antivirus on the engineering workstation flagged Industroyer after a contractor connected a USB drive at HQ-WHK. Machine isolated from the OT network for imaging.,malware=Industroyer|site=HQ-WHK,SYNTHETIC
TKT00093,2019-04-17 11:52:00,security_incident,P3,PLANT-01,AST-0153,mine090,Possible credential sharing: the same account mine090 authenticated from 192.91.173.195 and a second address within a few minutes. Access review requested for PLANT-01.,ip=192.91.173.195|site=PLANT-01|user=mine090,SYNTHETIC
TKT00185,2019-04-17 12:13:00,network_fault,P3,PORT-WVB,AST-0017,ot055,Intermittent link loss between the PORT-WVB radio bridge and the core switch. SNMP sessions from AST-0017 time out during the fault window.,asset=AST-0017|proto=SNMP|site=PORT-WVB,SYNTHETIC
TKT00061,2019-04-17 12:15:00,network_fault,P3,PIT-B,AST-0117,vend077,DHCP exhaustion at PIT-B; new devices cannot obtain an address. Affected range includes 69.197.221.12.,ip=69.197.221.12|site=PIT-B,SYNTHETIC
TKT00193,2019-04-17 12:38:00,mechanical,P3,HQ-WHK,AST-0076,main043,Conveyor drive bearing at HQ-WHK running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=HQ-WHK,SYNTHETIC
TKT00006,2019-04-17 20:28:00,instrumentation,P3,HQ-WHK,AST-0011,main030,GPS tracker on the HQ-WHK light vehicle fleet dropping position fixes; firmware update pending.,site=HQ-WHK,SYNTHETIC
TKT00007,2019-04-17 22:29:00,network_fault,P3,CAMP-01,AST-0123,supe107,Firewall rule change blocked DNP3 polling to AST-0123; control room lost trend data until the rule was reverted.,asset=AST-0123|proto=DNP3,SYNTHETIC
TKT00068,2019-04-18 02:30:00,instrumentation,P4,PORT-WVB,AST-0112,ot058,Modbus register map on AST-0112 does not match the documented configuration after a vendor visit.,asset=AST-0112,SYNTHETIC
TKT00111,2019-04-18 08:15:00,security_incident,P3,PIT-A,AST-0192,it060,Unusual SNMP traffic observed from AST-0192 at PIT-A towards 159.25.80.120. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0192|ip=159.25.80.120|proto=SNMP|site=PIT-A,SYNTHETIC
TKT00179,2019-04-18 08:36:00,network_fault,P3,PORT-WVB,AST-0141,cont004,Intermittent link loss between the PORT-WVB radio bridge and the core switch. SSH sessions from AST-0141 time out during the fault window.,asset=AST-0141|proto=SSH|site=PORT-WVB,SYNTHETIC
TKT00116,2019-04-18 10:50:00,mechanical,P4,CAMP-01,AST-0057,supe104,Conveyor drive bearing at CAMP-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=CAMP-01,SYNTHETIC
TKT00119,2019-04-18 13:11:00,mechanical,P4,CAMP-01,AST-0168,cont017,"Haul truck hydraulic leak reported by operator at CAMP-01. Unit removed from service, no network impact to AST-0168.",asset=AST-0168|site=CAMP-01,SYNTHETIC
TKT00015,2019-04-18 13:14:00,security_incident,P3,PIT-A,AST-0041,cont081,Possible credential sharing: the same account cont081 authenticated from 12.221.179.177 and a second address within a few minutes. Access review requested for PIT-A.,ip=12.221.179.177|site=PIT-A|user=cont081,SYNTHETIC
TKT00155,2019-04-18 15:11:00,instrumentation,P3,PLANT-01,AST-0103,cont006,Modbus register map on AST-0103 does not match the documented configuration after a vendor visit.,asset=AST-0103,SYNTHETIC
TKT00050,2019-04-18 16:10:00,access_request,P3,PLANT-01,AST-0019,mine095,Account mine095 requests privilege elevation on AST-0019 to complete firmware maintenance.,asset=AST-0019|user=mine095,SYNTHETIC
TKT00054,2019-04-18 16:51:00,instrumentation,P2,WORKSHOP-01,AST-0114,mine102,Thermostat on AST-0114 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0114,SYNTHETIC
TKT00247,2019-04-18 20:37:00,mechanical,P3,WORKSHOP-01,AST-0035,mine094,Pump seal failure at the WORKSHOP-01 dewatering station. Standby pump started automatically.,site=WORKSHOP-01,SYNTHETIC
TKT00236,2019-04-18 23:30:00,access_request,P2,HQ-WHK,AST-0124,main027,Offboarding: disable account main027 and revoke remote access tokens issued for HQ-WHK.,site=HQ-WHK|user=main027,SYNTHETIC
TKT00080,2019-04-19 02:04:00,access_request,P3,TAILINGS-01,AST-0149,cont024,Request to open SNMP from the vendor network to AST-0149 for diagnostics. Security review required before the rule is added.,asset=AST-0149|proto=SNMP,SYNTHETIC
TKT00076,2019-04-19 03:51:00,instrumentation,P3,TAILINGS-01,AST-0084,it066,GPS tracker on the TAILINGS-01 light vehicle fleet dropping position fixes; firmware update pending.,site=TAILINGS-01,SYNTHETIC
TKT00137,2019-04-19 04:23:00,network_fault,P2,TAILINGS-01,AST-0094,cont078,Firewall rule change blocked RDP polling to AST-0094; control room lost trend data until the rule was reverted.,asset=AST-0094|proto=RDP,SYNTHETIC
TKT00189,2019-04-19 05:10:00,mechanical,P2,PIT-A,AST-0062,vend073,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,site=PIT-A,SYNTHETIC
TKT00272,2019-04-19 05:52:00,instrumentation,P2,PLANT-01,AST-0175,ot056,Modbus register map on AST-0175 does not match the documented configuration after a vendor visit.,asset=AST-0175,SYNTHETIC
TKT00309,2019-04-19 09:15:00,network_fault,P4,PLANT-01,AST-0144,mine095,DHCP exhaustion at PLANT-01; new devices cannot obtain an address. Affected range includes 101.116.197.93.,ip=101.116.197.93|site=PLANT-01,SYNTHETIC
TKT00003,2019-04-19 12:51:00,access_request,P2,PLANT-01,AST-0083,vend077,Account vend077 requests privilege elevation on AST-0083 to complete firmware maintenance.,asset=AST-0083|user=vend077,SYNTHETIC
TKT00013,2019-04-19 13:08:00,security_incident,P3,PIT-B,AST-0153,mine100,Antivirus on the engineering workstation flagged BlackEnergy after a contractor connected a USB drive at PIT-B. Machine isolated from the OT network for imaging.,malware=BlackEnergy|site=PIT-B,SYNTHETIC
TKT00038,2019-04-19 14:02:00,network_fault,P3,PIT-B,AST-0051,mine101,Intermittent link loss between the PIT-B radio bridge and the core switch. RDP sessions from AST-0051 time out during the fault window.,asset=AST-0051|proto=RDP|site=PIT-B,SYNTHETIC
TKT00186,2019-04-19 14:04:00,security_incident,P4,PORT-WVB,AST-0126,cont024,Unusual DNP3 traffic observed from AST-0126 at PORT-WVB towards 51.254.174.183. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0126|ip=51.254.174.183|proto=DNP3|site=PORT-WVB,SYNTHETIC
TKT00074,2019-04-19 16:22:00,network_fault,P2,CAMP-01,AST-0023,cont010,Firewall rule change blocked SNMP polling to AST-0023; control room lost trend data until the rule was reverted.,asset=AST-0023|proto=SNMP,SYNTHETIC
TKT00265,2019-04-19 16:46:00,instrumentation,P1,WORKSHOP-01,AST-0048,cont089,"Sensor AST-0048 at WORKSHOP-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0048|site=WORKSHOP-01,SYNTHETIC
TKT00296,2019-04-19 17:36:00,mechanical,P3,CAMP-01,AST-0155,it062,Conveyor drive bearing at CAMP-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=CAMP-01,SYNTHETIC
TKT00018,2019-04-19 21:15:00,access_request,P3,HQ-WHK,AST-0191,vend071,Account vend071 requests privilege elevation on AST-0191 to complete firmware maintenance.,asset=AST-0191|user=vend071,SYNTHETIC
TKT00158,2019-04-20 01:42:00,security_incident,P3,PIT-A,AST-0076,ot056,Unusual Modbus/TCP traffic observed from AST-0076 at PIT-A towards 195.4.170.199. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0076|ip=195.4.170.199|proto=Modbus/TCP|site=PIT-A,SYNTHETIC
TKT00110,2019-04-20 04:52:00,security_incident,P3,TAILINGS-01,AST-0176,cont011,Unusual RDP traffic observed from AST-0176 at TAILINGS-01 towards 53.109.123.168. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0176|ip=53.109.123.168|proto=RDP|site=TAILINGS-01,SYNTHETIC
TKT00182,2019-04-20 15:44:00,instrumentation,P2,HQ-WHK,AST-0081,cont026,GPS tracker on the HQ-WHK light vehicle fleet dropping position fixes; firmware update pending.,site=HQ-WHK,SYNTHETIC
TKT00033,2019-04-20 16:54:00,mechanical,P3,PIT-B,AST-0025,main050,"Haul truck hydraulic leak reported by operator at PIT-B. Unit removed from service, no network impact to AST-0025.",asset=AST-0025|site=PIT-B,SYNTHETIC
TKT00251,2019-04-20 17:13:00,network_fault,P2,PLANT-01,AST-0062,cont084,Intermittent link loss between the PLANT-01 radio bridge and the core switch. RDP sessions from AST-0062 time out during the fault window.,asset=AST-0062|proto=RDP|site=PLANT-01,SYNTHETIC
TKT00109,2019-04-20 19:55:00,security_incident,P1,PLANT-01,AST-0172,vend073,Possible credential sharing: the same account vend073 authenticated from 66.229.6.42 and a second address within a few minutes. Access review requested for PLANT-01.,ip=66.229.6.42|site=PLANT-01|user=vend073,SYNTHETIC
TKT00180,2019-04-21 00:05:00,network_fault,P1,PIT-B,AST-0124,main029,Intermittent link loss between the PIT-B radio bridge and the core switch. DNP3 sessions from AST-0124 time out during the fault window.,asset=AST-0124|proto=DNP3|site=PIT-B,SYNTHETIC
TKT00048,2019-04-21 00:54:00,network_fault,P3,CAMP-01,AST-0109,main050,"High latency on the CAMP-01 microwave backhaul. Telemetry from AST-0109 arriving late, historian shows gaps of several minutes.",asset=AST-0109|site=CAMP-01,SYNTHETIC
TKT00311,2019-04-21 01:20:00,access_request,P3,PLANT-01,AST-0141,cont006,Account cont006 requests privilege elevation on AST-0141 to complete firmware maintenance.,asset=AST-0141|user=cont006,SYNTHETIC
TKT00053,2019-04-21 02:53:00,access_request,P2,PORT-WVB,AST-0090,main049,Contractor main049 requires temporary remote access to the PLC engineering workstation at PORT-WVB for a commissioning task. Approval and MFA enrolment required before access is granted.,site=PORT-WVB|target=PLC engineering workstation|user=main049,SYNTHETIC
TKT00255,2019-04-21 07:40:00,network_fault,P4,TAILINGS-01,AST-0007,cont019,"High latency on the TAILINGS-01 microwave backhaul. Telemetry from AST-0007 arriving late, historian shows gaps of several minutes.",asset=AST-0007|site=TAILINGS-01,SYNTHETIC
TKT00085,2019-04-21 09:59:00,security_incident,P4,CAMP-01,AST-0014,it068,Antivirus on the engineering workstation flagged Ryuk after a contractor connected a USB drive at CAMP-01. Machine isolated from the OT network for imaging.,malware=Ryuk|site=CAMP-01,SYNTHETIC
TKT00064,2019-04-21 13:00:00,mechanical,P3,WORKSHOP-01,AST-0029,cont008,Crusher liner wear beyond limit at WORKSHOP-01. Production rate reduced until the liner is replaced.,site=WORKSHOP-01,SYNTHETIC
TKT00065,2019-04-21 14:25:00,mechanical,P1,TAILINGS-01,AST-0028,cont086,"Haul truck hydraulic leak reported by operator at TAILINGS-01. Unit removed from service, no network impact to AST-0028.",asset=AST-0028|site=TAILINGS-01,SYNTHETIC
TKT00044,2019-04-21 19:48:00,mechanical,P3,PIT-A,AST-0168,cont025,Pump seal failure at the PIT-A dewatering station. Standby pump started automatically.,site=PIT-A,SYNTHETIC
TKT00121,2019-04-21 22:29:00,access_request,P4,TAILINGS-01,AST-0191,cont082,Offboarding: disable account cont082 and revoke remote access tokens issued for TAILINGS-01.,site=TAILINGS-01|user=cont082,SYNTHETIC
TKT00302,2019-04-21 23:35:00,mechanical,P2,CAMP-01,AST-0090,cont007,Crusher liner wear beyond limit at CAMP-01. Production rate reduced until the liner is replaced.,site=CAMP-01,SYNTHETIC
TKT00221,2019-04-22 00:26:00,instrumentation,P3,PLANT-01,AST-0069,mine100,Thermostat on AST-0069 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0069,SYNTHETIC
TKT00128,2019-04-22 01:35:00,access_request,P2,HQ-WHK,AST-0095,ot052,Offboarding: disable account ot052 and revoke remote access tokens issued for HQ-WHK.,site=HQ-WHK|user=ot052,SYNTHETIC
TKT00163,2019-04-22 06:28:00,instrumentation,P3,PIT-B,AST-0100,ot053,Thermostat on AST-0100 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0100,SYNTHETIC
TKT00087,2019-04-22 07:18:00,mechanical,P3,PIT-A,AST-0023,supe114,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,site=PIT-A,SYNTHETIC
TKT00206,2019-04-22 13:10:00,instrumentation,P4,HQ-WHK,AST-0029,it061,"Sensor AST-0029 at HQ-WHK reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0029|site=HQ-WHK,SYNTHETIC
TKT00232,2019-04-22 14:04:00,mechanical,P3,PLANT-01,AST-0074,main034,Conveyor drive bearing at PLANT-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=PLANT-01,SYNTHETIC
TKT00098,2019-04-22 15:08:00,mechanical,P3,PIT-B,AST-0083,supe104,Pump seal failure at the PIT-B dewatering station. Standby pump started automatically.,site=PIT-B,SYNTHETIC
TKT00216,2019-04-22 15:40:00,instrumentation,P2,PIT-A,AST-0075,ot058,GPS tracker on the PIT-A light vehicle fleet dropping position fixes; firmware update pending.,site=PIT-A,SYNTHETIC
TKT00305,2019-04-22 16:53:00,mechanical,P4,PLANT-01,AST-0109,supe106,Conveyor drive bearing at PLANT-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=PLANT-01,SYNTHETIC
